combat,durability,intelligence,name,power,speed,strength,base,id,occupation,relatives,aliases,alignment,alter-egos,full-name,publisher
64,80,38,A-Bomb,24,17,100,-,1,"Musician, adventurer, author; formerly talk show host","Marlo Chandler-Jones (wife); Polly (aunt); Mrs. Chandler (mother-in-law); Keith Chandler, Ray Chandler, three unidentified others (brothers-in-law); unidentified father (deceased); Jackie Shorr (alleged mother; unconfirmed)",['Rick Jones'],good,No alter egos found.,Richard Milhouse Jones,Marvel Comics
85,65,88,Abe Sapien,100,35,28,-,2,Paranormal Investigator,"Edith Howard (wife, deceased)","['Langdon Everett Caul', 'Abraham Sapien', 'Langdon Caul']",good,No alter egos found.,Abraham Sapien,Dark Horse Comics
65,64,50,Abin Sur,99,53,90,Oa,3,"Green Lantern, former history professor","Amon Sur (son), Arin Sur (sister), Thaal Sinestro (brother-in-law), Soranik Natu (niece)",['Lagzia'],good,No alter egos found.,,DC Comics
95,90,63,Abomination,62,53,80,Mobile,4,Ex-Spy,"Nadia Dornova Blonsky (wife, separated)","['Agent R-7', 'Ravager of Worlds']",bad,No alter egos found.,Emil Blonsky,Marvel Comics
55,100,88,Abraxas,100,83,63,-,5,Dimensional destroyer,"Eternity (""Father"")",['-'],bad,No alter egos found.,Abraxas,Marvel Comics
64,100,38,Absorbing Man,98,25,80,-,6,Professional criminal; former professional boxer,"Mary MacPherran (Titania) (wife); Jerry Sledge (son); Rockwell ""Rocky"" Davis (Hi-Llite) (cousin)","['Greithoth', '""Crusher"" Creel', 'Rocky Davis', 'Dynamite Davis', 'Lightningbolt', 'Prisoner #24957']",bad,No alter egos found.,Carl Creel,Marvel Comics
64,100,63,Adam Monroe,100,12,10,"U.S.; formerly Diedenshausen, Germany; Milan, Italy; Paris, France; Japan; England; Atlanta, GA; Montreal, Canada",7,"former samurai swordsman, former British mercenary commander, former soldier in the Confederate Army",-,"['Takezo Kensei', 'Richard Sanders']",good,No alter egos found.,,NBC - Heroes
50,40,69,Adam Strange,37,33,10,"Rann, Alpha Centauri System",8,"Adventurer, archaelogist, ambassador","Alanna Strange (wife); Aleea Strange (daughter); Sardath (father-in-law); Janey Strange (sister); Todd Strange (brother, deceased); Bantteir (mother-in-law); Adam Strange II (descendent)","['Warrior of Two Worlds', 'Savior of Rann']",good,No alter egos found.,Adam Strange,DC Comics
null,null,null,Agent 13,null,null,46,"S.H.I.E.L.D. Headquarters, New York City",9,Agent of SHIELD,"Harrison Carter (father), Amanda Carter (mother), Margaret ""Peggy"" Carter (sister)",['-'],good,Sharon Carter,Sharon Carter,Sharon Carter
20,5,10,Agent Bob,5,13,8,"Mobile; formerly Manhattan, Hellcarrier",10,"Mercenary, janitor; former pirate, terrorist",Allison (ex-wife); Terry and Howie (sons),"['Bob', 'agent of Hydra', 'Bob', 'agent of A.I.M']",good,No alter egos found.,Bob,Marvel Comics
95,80,75,Agent Zero,72,38,28,-,11,"Mercenary, former government operative, freedom fighter","Unidentified parents (deceased), Andreas Nord (brother, deceased), Ginetta Lucia Barsalini (wife, deceased), unnamed child (deceased)",['Maverick'],good,No alter egos found.,Christoph Nord,Marvel Comics
40,85,50,Air-Walker,100,100,85,-,12,"Former starship captain, Herald of Galactus",-,['-'],bad,No alter egos found.,Gabriel Lan,Marvel Comics
55,80,56,Ajax,34,35,48,-,13,-,-,"['""Frankie""', 'the A-Man', 'the Attending']",bad,No alter egos found.,Francis,Marvel Comics
32,90,63,Alan Scott,100,23,80,Gotham City and New York City; Formerly Capitol City,14,-,"Harlequin (Molly Mayne-Scott) (wife), Thorn (Rose Canton) (first wife, deceased), Todd Rice (Obsidian, son), Jennie-Lynn Hayden (Jade, daughter, deceased)","['Green Lantern', 'White King', 'Sentinal']",good,No alter egos found.,Alan Ladd Wellington Scott,DC Comics
50,90,50,Alex Mercer,100,42,80,-,15,-,Dana Mercer (sister),"['Prototype', 'Zues', 'Blacklight']",bad,No alter egos found.,Alexander J. Mercer,Wildstorm
null,null,null,Alex Woolsly,null,null,37,"Costa Verde, CA",16,Employee at Sam's Comics,"Mr. Woolsly, Mrs. Woolsly, sister",['-'],good,No alter egos found.,Alex Woolsly,NBC - Heroes
55,10,63,Alfred Pennyworth,7,17,10,Wayne Manor; Batcave; Gotham City,17,"Butler; Caretaker, former Actor; Field Medic; Government Agent","Jarvis Pennyworth (father, deceased), Wilfred Pennyworth (older brother), Daphne Pennyworth (niece); Bruce Wayne (Batman, legal ward)",['Alfred Beagle'],good,No alter egos found.,Alfred Thaddeus Crane Pennyworth,DC Comics
60,90,50,Alien,57,42,28,-,18,-,Alien Queen (mother),['-'],bad,No alter egos found.,Xenomorph,Dark Horse Comics
null,null,null,Allan Quatermain,null,null,null,"The Secret Wing of the British Museum, London",19,(former) hunter; (current) agent of the British government,-,['-'],good,No alter egos found.,,Wildstorm
100,100,63,Amazo,100,83,100,-,20,-,"Professor Ivo (creator), Kid Amazo (cyborg offspring)","['Professor Ivos Amazing Android', 'Timazo', 'Humazo', 'Hourmazo']",bad,No alter egos found.,,DC Comics
null,null,null,Ammo,null,null,null,New York City,21,"Gang leader , criminal , former soldier",-,['-'],bad,No alter egos found.,,Marvel Comics
null,null,null,Ando Masahashi,null,null,null,-,22,Yamagato Industries computer programmer,-,"['Huggerz69', 'Sidekick']",good,No alter egos found.,Ando Masahashi,NBC - Heroes
75,90,75,Angel,100,58,30,-,23,-,"Kathy (sister), Connor (son), Twilight (""child"")","['Angelus', 'Twilight']",good,No alter egos found.,Liam,Dark Horse Comics
42,64,63,Angel,28,46,13,-,23,-,"Kathy (sister), Connor (son), Twilight (""child"")","['Angelus', 'Twilight']",good,No alter egos found.,Liam,Dark Horse Comics
